Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
01-01-2022;20,4;29;24,3;82;25,1;3,4;3;120;1;C 
02-01-2022;20,4;28,6;24,1;82;6,4;3;3;150;2;SE
03-01-2022;20,7;29,4;24,4;80;2,9;4,1;4;150;2;SE
04-01-2022;20,2;28,6;24,1;81;8888;7,3;5;180;2;C 
05-01-2022;19,6;28,8;24,3;78;0,8;4,1;5;150;2;S 
06-01-2022;19,2;29,3;23,9;76;0;7,4;3;130;1;C 
07-01-2022;21;30,2;24,7;77;8888;4,1;6;140;2;SE
08-01-2022;20,1;28,4;23,3;82;0,2;4;3;60;1;C 
09-01-2022;20;29,8;23,2;83;2,7;2,5;4;200;1;C 
10-01-2022;19,8;28,8;23,8;84;26,6;6,3;4;70;1;C 
11-01-2022;21;28,1;23,6;90;22,6;4,4;3;260;1;C 
12-01-2022;20,3;29,7;25,5;78;17,9;3,9;5;290;2;C 
13-01-2022;22;29,6;24,8;83;0;3,2;3;90;2;SE
14-01-2022;20,5;29,2;24,3;81;0,6;2;2;120;1;C 
15-01-2022;20,7;30,2;24,1;82;2,1;5,2;5;340;1;C 
16-01-2022;20,4;29,1;24,4;81;4;3,6;3;70;1;C 
17-01-2022;19,8;30,4;24;79;1,9;0,3;3;260;1;C 
18-01-2022;20,6;27,6;22,9;89;21,4;3,8;3;140;1;C 
19-01-2022;20,7;28,2;24,5;81;31,3;1,1;4;110;1;C 
20-01-2022;21,3;27,4;22,6;94;8,7;4,7;4;120;2;C 
21-01-2022;20,2;28;23,6;86;26,3;1,7;5;160;2;SE
22-01-2022;21,4;27,6;24;84;0,3;2,5;4;150;1;C 
23-01-2022;21,1;29,2;24,3;84;2,7;0,1;4;140;2;SE
24-01-2022;20,5;30,2;25;76;0;6,2;4;130;2;SE
25-01-2022;19,5;31,4;25;73;0;8,8;4;300;2;C 
26-01-2022;19,6;31;25,7;77;0;9;3;100;2;SE
27-01-2022;21,6;30,6;25;80;2,8;3,5;4;140;1;C 
28-01-2022;21,2;28,9;24;86;1,8;4,6;6;150;1;C 
29-01-2022;21,2;30;24,5;81;0;2,8;4;80;2;C 
30-01-2022;21,4;29;24,6;82;1,5;1,8;5;140;2;E 
31-01-2022;20,7;30,2;23,7;84;5,5;3,4;4;110;1;C 
01-02-2022;20,7;28,4;22,4;92;12,5;4,3;3;150;1;C 
02-02-2022;19,4;29,4;23,9;83;47,4;3,1;4;50;2;C 
03-02-2022;20,4;30,4;24,2;83;1,2;7,4;4;80;2;C 
04-02-2022;21,3;29;24;86;36,4;4;4;180;2;S 
05-02-2022;21,6;27,6;23,5;90;0;2,5;3;120;1;C 
06-02-2022;20,6;28,6;24;85;3,6;0,9;5;50;2;C 
07-02-2022;21,9;27,8;24,2;76;55;4;3;50;2;N 
08-02-2022;22,1;30,1;26;66;2,3;5;4;270;2;W 
09-02-2022;21,4;28,6;23,7;85;5,6;5,5;3;160;1;C 
10-02-2022;20,4;27,8;23,6;86;42;4,5;2;150;1;C 
11-02-2022;21;27,4;23,5;86;1,2;0,5;3;140;1;C 
12-02-2022;20,6;28,4;24,1;81;32,6;0;4;70;1;C 
13-02-2022;20,4;28,4;23,8;86;4,8;1;3;50;1;C 
14-02-2022;21;27;23,6;89;0,4;3;4;160;1;C 
15-02-2022;21,1;28,4;24,3;85;3,7;0,5;4;30;1;C 
16-02-2022;21,4;29,3;25,3;81;41,2;2,7;8;60;3;E 
17-02-2022;20,2;28,1;23,5;83;0;9,1;6;40;2;NE
18-02-2022;20,3;29;23,8;80;2,2;5,7;6;20;3;C 
19-02-2022;20,7;29,2;24,8;78;6,2;5,8;4;170;1;C 
20-02-2022;21,2;28,3;24,8;77;0;7,5;3;140;1;C 
21-02-2022;21,7;28,9;24,8;84;8888;3,3;5;120;2;SE
22-02-2022;21,2;28,9;24,3;81;3,2;2,2;8;170;4;S 
23-02-2022;18,9;29,4;24,5;77;0;9;8;150;3;SE
24-02-2022;20,1;29,8;24;81;0;9,2;5;340;2;SE
25-02-2022;19,3;29;22,2;90;1,3;5,9;4;170;1;C 
26-02-2022;19,8;28,7;22,6;89;37;4,6;3;40;1;C 
27-02-2022;21;28,6;24,2;83;12,3;4,5;5;90;1;C 
28-02-2022;21,6;27;23,4;88;0,4;4,6;4;50;2;NE
01-03-2022;20,6;27;24,2;83;1,5;2,9;4;60;2;NE
02-03-2022;20,7;29,7;25;77;0,4;1;5;70;2;NE
03-03-2022;21;30,2;25,7;74;5,3;6,8;5;110;2;E 
04-03-2022;22,2;29;24,5;84;8,5;7,9;4;190;2;SE
05-03-2022;21,3;29,6;24,7;80;9,9;3,8;6;160;2;S 
06-03-2022;20,4;28,8;24,1;82;0;7,5;5;180;2;C 
07-03-2022;21;28,9;24,1;85;0;2,3;4;300;1;C 
08-03-2022;20,7;29;24,1;84;47;5;5;150;2;NW
09-03-2022;21,7;29,8;24,4;83;16,4;6;4;160;1;C 
10-03-2022;20,8;28,8;23,9;84;62,8;3;3;130;1;C 
11-03-2022;20,3;28,6;24,8;82;1,8;0,5;5;60;3;NE
12-03-2022;21,4;27,4;23,9;86;8888;7,5;4;320;2;C 
13-03-2022;20,4;29,4;24,6;81;5;0,3;4;90;1;C 
14-03-2022;20,2;29,6;24,3;85;12,8;4;3;100;1;C 
15-03-2022;;29,4;24,8;85;89,4;5,5;15;140;3;C 
16-03-2022;20,4;29;24,6;84;3,2;3,8;5;60;2;C 
17-03-2022;20,8;30,8;26,5;72;1;4,7;4;60;2;NE
18-03-2022;20,8;30,3;24,3;84;0;10;6;90;2;C 
19-03-2022;20,4;29,2;23,8;85;46,6;4,2;4;190;2;C 
20-03-2022;21,2;28,4;23,5;91;3,5;4,5;5;150;1;C 
21-03-2022;20,6;28,4;23,3;86;1,5;2,3;4;40;1;C 
22-03-2022;20;28,6;23,4;83;9,5;3,1;5;80;2;C 
23-03-2022;20,1;29,4;24,1;80;1;3,1;4;70;2;E 
24-03-2022;20,6;30,8;25,1;83;5,5;5,5;4;30;2;NE
25-03-2022;21,3;29,4;24,4;85;8888;9;4;60;1;C 
26-03-2022;21,4;29,4;24,3;82;0;1,5;3;140;0;C 
27-03-2022;22,4;27,8;23,2;88;3;1,6;3;120;1;C 
28-03-2022;20;29,6;23,8;82;4,7;0,7;5;80;2;C 
29-03-2022;20,4;29,2;23,8;84;5;7,5;5;130;1;C 
30-03-2022;20,9;30;24,8;79;3,4;4,7;4;80;1;C 
31-03-2022;21,9;29,6;23;92;0;6,1;3;80;1;C 
01-04-2022;19;29,2;22,1;85;21;4,1;2;100;0;C 
02-04-2022;20,6;30;25,1;78;18,3;4,7;2;90;1;C 
03-04-2022;19,4;30,6;24,3;76;6,2;4,1;5;70;1;C 
04-04-2022;20,4;29;23,7;84;7,5;7,5;3;150;1;C 
05-04-2022;19;29,8;24,3;78;95,7;6,3;4;50;2;C 
06-04-2022;19,4;28,6;23,9;79;3,5;8;4;190;1;C 
07-04-2022;20;28,6;25,1;77;0,5;5,1;4;170;2;S 
08-04-2022;21,8;29;24,3;84;0;5,6;5;160;1;C 
09-04-2022;20,4;29,6;24,7;79;26;6;3;120;1;C 
10-04-2022;21,2;30,6;24,5;77;18,2;6,5;3;120;1;C 
11-04-2022;19,8;30;25;72;0,1;6,2;3;120;2;C 
12-04-2022;18,2;29,8;24,1;70;0;7,7;3;110;1;S 
13-04-2022;18,9;29,4;24,1;73;1;7;3;100;1;C 
14-04-2022;19,3;30;24,8;67;0;7,2;5;70;2;C 
15-04-2022;20;30,3;25,5;69;0;9,8;4;70;2;E 
16-04-2022;20,3;30,4;23;87;;9,8;5;80;1;C 
17-04-2022;19,7;30,4;25,1;74;42,5;5,5;4;20;2;C 
18-04-2022;21,4;30,1;24,7;80;0;9;3;40;1;C 
19-04-2022;21,2;28,8;23,5;88;2,8;4,5;4;130;1;C 
20-04-2022;20,3;27,4;23,7;83;45;4;3;160;1;C 
21-04-2022;20,2;28;23,5;85;5,6;0,9;4;30;1;C 
22-04-2022;20;29,6;24,5;77;45,5;4,9;6;50;3;NE
23-04-2022;20,4;29,8;24,9;79;0;6,9;3;50;1;C 
24-04-2022;21;29,7;24,6;89;1,6;7,1;3;30;1;C 
25-04-2022;22;29,8;25,4;81;5,6;5,8;3;130;1;C 
26-04-2022;20,3;28,8;24,7;79;0;9,2;5;20;2;NE
27-04-2022;20,8;29;24,3;79;0;6;4;20;2;NE
28-04-2022;21,8;29,8;25,1;80;1,5;5,3;5;60;2;C 
29-04-2022;20,1;28,8;24,2;80;2,5;6;4;60;2;NE
30-04-2022;20,2;29;24,6;77;4;5,5;5;70;3;NE
01-05-2022;20,8;30;25,5;74;1;4,8;5;50;3;NE
02-05-2022;20,1;30,2;25;70;0;8,8;6;50;2;NE
03-05-2022;20;30,4;24,5;78;0;10,7;3;60;1;C 
04-05-2022;19,8;29,9;25;74;9,6;7,8;5;60;2;C 
05-05-2022;20,5;29,8;25,2;74;0;7,7;5;90;2;C 
06-05-2022;21;29;25,2;79;0;5,4;4;50;1;C 
07-05-2022;20,8;29,9;24,1;85;0,5;5,7;2;120;1;C 
08-05-2022;21;29,4;24,3;82;8888;5,6;3;150;1;C 
09-05-2022;21;29,4;25,4;80;0;5,1;5;70;2;C 
10-05-2022;21,4;30,4;25,4;82;0;7,5;5;70;2;E 
11-05-2022;21,1;30,4;25,6;76;8888;5,4;5;40;2;NE
12-05-2022;21,6;30,3;25,1;82;0;8,3;2;90;1;C 
13-05-2022;21,4;29,7;25,4;83;4,8;4,6;3;140;1;SE
14-05-2022;21,4;30,6;25,4;81;0,1;6,4;3;150;1;C 
15-05-2022;21,2;29,8;25,7;76;10,3;6,2;3;200;2;S 
16-05-2022;20,6;29,9;25;74;0;9;2;150;1;SE
17-05-2022;20,4;29,6;24,7;76;0;9,9;4;80;1;C 
18-05-2022;21;29,6;24,6;78;0,2;7,1;5;60;2;C 
19-05-2022;20,6;29,6;24,6;80;0;6,7;6;40;2;C 
20-05-2022;21,8;28,2;23,6;92;12,9;6,6;4;90;1;C 
21-05-2022;21,4;28,8;25,1;77;18,4;2,2;7;60;2;NE
22-05-2022;20,3;28,8;24,5;72;0;8,3;5;50;3;NE
23-05-2022;20,4;28,6;24,5;68;0;7,9;5;50;3;NE
24-05-2022;19,6;29,2;25,7;74;0;9,8;6;20;3;NE
25-05-2022;22;29,4;25,5;78;0;10;4;60;2;NE
26-05-2022;21,8;25,8;23,1;84;8888;7,9;4;310;1;C 
27-05-2022;21,5;27,4;23,5;81;1,2;0;2;80;1;C 
28-05-2022;20,4;29,1;25;73;15,6;0,5;3;30;1;NE
29-05-2022;21,4;28;24,4;80;0;7,3;5;60;2;N 
30-05-2022;21;28,8;25,2;75;0;5,8;5;20;3;NE
31-05-2022;20,2;29,4;25,5;77;0;9,2;4;50;2;NE
01-06-2022;21,2;26,1;23,6;90;4,8;9;4;180;1;C 
02-06-2022;19,2;29,2;23,3;78;8888;0,8;4;160;1;S 
03-06-2022;19,5;28;23,7;79;5,5;6,5;3;150;1;C 
04-06-2022;20;29,4;24,4;81;8888;6,6;5;80;2;E 
05-06-2022;20,8;28,3;22,8;87;0;8,8;3;160;1;C 
06-06-2022;19,6;28,4;23,1;87;73,1;5,3;3;130;1;C 
07-06-2022;19,8;29,4;24;80;0,6;2,6;4;50;2;C 
08-06-2022;20;28,6;23,9;78;0,5;9,2;6;30;2;C 
09-06-2022;20,7;28,5;24,1;74;0;8,6;6;70;2;C 
10-06-2022;20;29,2;23,9;80;0;4,5;5;90;2;C 
11-06-2022;20,2;29;24,4;82;92,5;6,8;6;80;2;C 
12-06-2022;20,8;28,3;24;82;1,7;7;4;160;2;SE
13-06-2022;20,3;28,6;23,7;82;4,4;6,7;5;120;1;C 
14-06-2022;20,2;28,8;24,3;79;0,8;3,7;4;50;2;C 
15-06-2022;20,2;29;24,5;77;0;7,4;8;70;3;NE
16-06-2022;21,2;28,6;23,3;90;2,2;9,7;4;90;1;C 
17-06-2022;20;28,4;23,1;85;6,9;2,8;3;180;1;C 
18-06-2022;19,4;28,6;23,7;80;58,4;3,6;3;160;1;C 
19-06-2022;19,8;28,8;23,4;84;8888;7,7;5;70;2;E 
20-06-2022;19,1;27,8;23,2;84;20;8,3;4;130;2;C 
21-06-2022;19,1;28,6;23,5;78;0;6,3;3;70;1;C 
22-06-2022;18,7;29,2;24;72;0;7;3;170;2;S 
23-06-2022;19;29,2;23,5;79;0;8;4;170;2;SW
24-06-2022;19,6;27,4;23,4;80;9,5;6,6;5;160;2;S 
25-06-2022;19,2;28,4;23,4;79;3,9;7,2;4;190;1;C 
26-06-2022;19,8;27,8;22,4;92;0;6,3;3;170;1;C 
27-06-2022;20,8;25,6;22,8;85;23,4;2,8;6;180;2;SW
28-06-2022;20,2;27;23,2;76;0;1,8;4;210;3;S 
29-06-2022;18,8;28,6;23;63;0;6,7;3;250;1;W 
30-06-2022;20,1;28,2;24,4;71;0;9;4;190;2;S 
01-07-2022;19,4;28,2;23;80;0;9,9;5;70;2;S 
02-07-2022;19,6;28,3;23,8;78;0;6,8;3;170;1;C 
03-07-2022;20,8;29,2;25;77;17,4;3,8;6;30;3;NE
04-07-2022;20,4;29;24,3;77;0;8,2;7;60;3;NE
05-07-2022;20,2;29,8;25,2;76;0;9,6;4;190;1;C 
06-07-2022;20,6;27,2;24;79;;6,1;4;200;2;S 
07-07-2022;18,4;28,1;23,2;72;0;5,2;4;190;2;S 
08-07-2022;18,3;26,2;22,3;70;0;9,7;4;190;2;S 
09-07-2022;16,4;28;22,5;71;0;9;3;190;2;S 
10-07-2022;17,5;28,8;22,7;75;0;7,3;3;140;1;C 
11-07-2022;19,3;27,6;23,8;77;0;8,2;4;200;1;C 
12-07-2022;19,2;28,8;23,5;82;0;2,6;4;160;2;C 
13-07-2022;19,4;29,2;24,2;77;1,9;6,2;5;60;2;C 
14-07-2022;19,4;29;23,9;80;1;8,3;6;110;2;E 
15-07-2022;21,4;28;24;82;0;7,6;4;160;2;S 
16-07-2022;20,3;27,4;23,3;84;0;4,7;5;160;2;S 
17-07-2022;18,6;27,2;23,9;77;0;5,2;3;220;1;C 
18-07-2022;21,2;28,4;23,8;78;0;5,4;3;210;1;C 
19-07-2022;20,8;29,2;24,2;74;0;6,3;3;180;2;S 
20-07-2022;17;29,4;22,8;70;0;7;6;90;2;E 
21-07-2022;19,2;28;23,3;78;0;10;6;170;2;S 
22-07-2022;21,2;27,1;23,2;82;0;6,9;4;170;2;S 
23-07-2022;18,9;27,8;23;82;0;5,1;5;180;2;S 
24-07-2022;20;26,4;22,6;69;0;5,6;5;180;3;S 
25-07-2022;14,6;26,5;20,1;70;0;7,8;4;260;2;C 
26-07-2022;16;29,2;21,9;66;0;8,7;6;100;2;C 
27-07-2022;17,1;30,4;24;77;0;10,1;6;80;2;S 
28-07-2022;18,4;29,6;23,6;75;0;8,9;5;60;3;S 
29-07-2022;17,6;28,8;22,9;73;;9,7;5;80;2;E 
30-07-2022;17,9;28,8;22,5;69;0;7,4;5;70;2;SE
31-07-2022;17,7;28,8;22,8;67;0;9,3;4;90;2;NE
01-08-2022;17;28,8;23;65;0;8;7;50;2;C 
02-08-2022;18;28;24;84;0;8,6;3;90;1;C 
03-08-2022;19,5;30,2;24,3;76;0;0,3;5;80;2;E 
04-08-2022;19;27,9;23,4;68;0,8;8,7;7;160;3;S 
05-08-2022;18,2;29;23,3;60;0;8,8;3;200;2;C 
06-08-2022;18;28,6;23,9;62;0;9,6;3;180;2;SE
07-08-2022;20,1;24,5;22,5;90;1,5;9,8;4;180;2;S 
08-08-2022;20,6;26,8;23,2;82;5,1;1,5;4;200;2;S 
09-08-2022;18,2;28,3;22,8;78;0;3,8;4;170;2;S 
10-08-2022;20;29;23,9;81;0;7,5;4;80;2;S 
11-08-2022;21;29,8;24,8;80;0;5,5;7;50;3;S 
12-08-2022;21,9;29,2;24,9;76;;6;7;70;4;E 
13-08-2022;20,6;30,4;24,2;78;0;7,6;5;70;2;C 
14-08-2022;19,2;28,8;24,6;81;15,1;6,5;5;50;2;C 
15-08-2022;19,9;29,8;24,3;77;0,4;7,7;6;80;2;E 
16-08-2022;20,6;29,8;24;79;8888;7,7;4;160;2;S 
17-08-2022;19,9;28,4;23,6;76;18,8;7,2;5;220;2;S 
18-08-2022;19,4;28;23,4;80;0;8,6;3;200;2;S 
19-08-2022;19,4;27,8;22,7;81;0;8,8;5;200;3;S 
20-08-2022;18,8;29;23,2;76;8888;7,6;4;210;2;S 
21-08-2022;19,6;28,8;23,6;73;0;8,8;4;190;2;C 
22-08-2022;18,7;28,9;23,6;78;0;6,8;5;200;3;S 
23-08-2022;17,9;28,2;22,4;75;0;9;4;160;2;S 
24-08-2022;16,5;29,2;22,4;74;0;8,4;3;120;2;S 
25-08-2022;17,6;28,5;23;77;0;9,2;5;190;2;S 
26-08-2022;18,7;28;22,7;80;;7,2;5;190;2;S 
27-08-2022;18,8;27,2;22,9;80;0;4,6;4;190;3;S 
28-08-2022;17,7;26,5;22,7;70;0;2,7;5;180;2;S 
29-08-2022;17,4;28,6;23,4;78;0;5,9;5;180;2;S 
30-08-2022;20,7;28;23,6;86;1,8;8,3;6;190;2;SW
31-08-2022;19,6;29,8;24,3;76;0,1;4,9;5;80;2;C 
01-09-2022;19,2;30,2;24,2;77;0;6,4;4;80;2;S 
02-09-2022;20;31,3;25,2;69;0;8,4;5;70;2;E 
03-09-2022;20,3;29;24,3;72;0;9,6;5;200;3;S 
04-09-2022;19,8;29;23,7;78;0;9;3;170;2;S 
05-09-2022;19,4;29,3;23,8;78;16,4;5,7;5;90;2;C 
06-09-2022;19;29,4;23,6;81;0;2,6;4;140;1;C 
07-09-2022;19;28,8;24,1;83;0;5,2;4;200;2;S 
08-09-2022;19,3;30;23,5;81;11,4;2,9;5;110;2;C 
